,Variable1,Variable2,Correlation
0,C_Npmi,C_Npmi,1.0
1,C_Npmi,C_uci,0.9200607046678202
2,C_Npmi,C_v,0.4002051303816871
3,C_Npmi,U_mass,0.7846618723711938
4,C_uci,C_Npmi,0.9200607046678202
5,C_uci,C_uci,1.0
6,C_uci,C_v,0.08102884600901886
7,C_uci,U_mass,0.9336867583636187
8,C_v,C_Npmi,0.4002051303816871
9,C_v,C_uci,0.08102884600901886
10,C_v,C_v,1.0
11,C_v,U_mass,-0.07291317053122065
12,U_mass,C_Npmi,0.7846618723711938
13,U_mass,C_uci,0.9336867583636187
14,U_mass,C_v,-0.07291317053122065
15,U_mass,U_mass,1.0
