,model,category,coherence_u_mass,coherence_c_v,coherence_c_uci,coherence_c_npmi
0,lda,a,-1.567270763365265,0.37351122542186266,-0.3470251967217284,-0.002285550546032017
1,lsi,a,-1.9030421530417623,0.42827698808233683,-0.44800967889701593,0.0128484679622714
2,lsi_tfidf,a,-2.336276460983212,0.4731442717960721,-0.7602595357772259,0.02339808509293075
3,nmf,a,-1.5383038007481094,0.4258538916206189,-0.05881475140010001,0.0208866054567536
4,nmf_tfidf,a,-2.19136651823086,0.43862528710016296,-0.8151104653711512,0.008344004617836081
5,lda,b,-1.7406247522538032,0.3720812485419779,-0.41146440787390354,-0.0007876171844882999
6,lsi,b,-2.159264924492124,0.41128284582055924,-0.707920201862079,0.0008839957824330499
7,lsi_tfidf,b,-2.902788051636069,0.4424861664977551,-1.3319373541547903,0.0012862293506397835
8,nmf,b,-1.7887375361275042,0.4229328380013528,-0.19600693835182129,0.019440263454538052
9,nmf_tfidf,b,-2.84620602750398,0.41760917502193656,-1.51788752418019,-0.015605026104804333
10,lda,c,-2.833806792242443,0.3727140388935354,-1.6644009540821516,-0.04287604648998767
11,lsi,c,-2.974208840089812,0.3817318944748542,-1.7004222078492164,-0.037883309703289264
12,lsi_tfidf,c,-3.2124207368333755,0.4098379163875502,-1.8010592661793199,-0.023321855960560918
13,nmf,c,-2.330481463504556,0.4164656930389378,-0.8688884517734043,-0.004510344510067765
14,nmf_tfidf,c,-3.970763808346848,0.4078530991224924,-2.784608109384488,-0.06476362578625612
15,lda,d,-2.1127696227435435,0.36765921263259177,-0.8175031115926685,-0.012685637558706216
16,lsi,d,-2.442336215160524,0.3441096004890052,-1.1916025193978546,-0.026437417052614966
17,lsi_tfidf,d,-3.7123370248546124,0.3839862552549902,-2.504038686170885,-0.05328886406905183
18,nmf,d,-2.035738971379667,0.41710230899156703,-0.402134375186019,0.01357692133337395
19,nmf_tfidf,d,-3.2483085365544353,0.407529041734326,-1.9799094988129264,-0.0329874346829907
20,lda,e,-2.4178040199631234,0.3654662808745694,-1.1372233784423347,-0.023662773411123852
21,lsi,e,-2.5061284847063425,0.3374990688472442,-1.256588668559921,-0.029764043905806767
22,lsi_tfidf,e,-3.943599618672419,0.36782210434666757,-2.775626433068844,-0.06621819487851362
23,nmf,e,-2.095536166829166,0.4201849428266156,-0.4296978857022904,0.011951871846926967
24,nmf_tfidf,e,-3.5050901013498668,0.3996853578734513,-2.256359619907576,-0.043464594469347584
