,model_type,category,coherence_c_v
0,lda,a,0.37351122542186266
1,lda,b,0.3720812485419778
2,lda,c,0.37271403889353544
3,lda,d,0.3676592126325917
4,lda,e,0.3654662808745694
5,lsi,a,0.4282769880823368
6,lsi,b,0.41128284582055924
7,lsi,c,0.3817318944748542
8,lsi,d,0.3441096004890052
9,lsi,e,0.3374990688472442
10,lsi_tfidf,a,0.4731442717960721
11,lsi_tfidf,b,0.44248616649775513
12,lsi_tfidf,c,0.4098379163875501
13,lsi_tfidf,d,0.3839862552549902
14,lsi_tfidf,e,0.36782210434666757
15,nmf,a,0.4258538916206189
16,nmf,b,0.4229328380013528
17,nmf,c,0.4164656930389379
18,nmf,d,0.41710230899156703
19,nmf,e,0.42018494282661556
20,nmf_tfidf,a,0.43862528710016296
21,nmf_tfidf,b,0.41760917502193656
22,nmf_tfidf,c,0.4078530991224924
23,nmf_tfidf,d,0.407529041734326
24,nmf_tfidf,e,0.3996853578734512
