,model_type,category,coherence_u_mass
0,lda,a,0.6380518436091964
1,lda,b,0.5745063654329721
2,lda,c,0.3528822087439073
3,lda,d,0.4733123712283628
4,lda,e,0.4135984520429626
5,lsi,a,0.5254744349207566
6,lsi,b,0.46312056879042196
7,lsi,c,0.33622386784708874
8,lsi,d,0.40944403714468713
9,lsi,e,0.3990218403016858
10,lsi_tfidf,a,0.4280315350945899
11,lsi_tfidf,b,0.344496388372682
12,lsi_tfidf,c,0.3112917273052297
13,lsi_tfidf,d,0.26937209453367544
14,lsi_tfidf,e,0.2535754378474765
15,nmf,a,0.6500666510176202
16,nmf,b,0.5590535110952791
17,nmf,c,0.4290958824002872
18,nmf,d,0.49122211347276856
19,nmf,e,0.4772048394245265
20,nmf_tfidf,a,0.45633625944386647
21,nmf_tfidf,b,0.3513449097980317
22,nmf_tfidf,c,0.25184071585872825
23,nmf_tfidf,d,0.3078525296309217
24,nmf_tfidf,e,0.2852993706538054
